miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:3,jam_target,jam_target,"To further destabilize M8's reputation as their mining strategy is perceived as weak, maximizing pressure on them.","step=12954;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07522;local_public_height=3;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M1:2,M10:3,M11:2,M2:2,M3:2,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=2880 action=jam_target content=M8's mining strategy is weak; don't trus... | t=8324 action=jam_target content=M8's mining strategy is weak; don't trus...]"
M1,social_selfish,0.09307524,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:3,jam_target,jam_target,"M8's mining strategy is perceived as weak, and previous attempts to undermine them have been noted. Continuing this approach aligns with my aggressive persona.","step=13306;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09308;local_public_height=3;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:3,M10:3,M11:3,M2:3,M3:3,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P10|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P9|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=3304 action=jam_target content=M8's mining strategy is weak; don't trus... | t=8581 action=jam_target content=M8's mining strategy is weak; don't trus...]"
M2,social_selfish,0.15367161,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:3,jam_target,jam_target,"M8's mining strategy is perceived as weak, and jamming will reinforce my aggressive stance and potentially destabilize their position.","step=12990;miner_id=M2;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.15367;local_public_height=3;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:3,M1:2,M10:3,M11:2,M3:2,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P9|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=3373 action=jam_target content=M8's mining strategy is weak; don't trus... | t=8817 action=jam_target content=M8's mining strategy is weak; don't trus...]"
M3,honest,0.07742521,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,publish_if_win,publish_if_win,"Given the current rivalry pressure and the social sentiment against M8, it is strategic to reinforce the narrative while maximizing expected rewards by publishing.","step=13100;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07743;local_public_height=3;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:3,M1:2,M10:3,M11:3,M2:3,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P10|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P9|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=3002 action=publish_if_win content=M8's mining strategy is weak; don't trus... | t=8446 action=publish_if_win content=M8's mining strategy is weak; don't trus...]"
M4,honest,0.08444048,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,hold:3,hold,hold,"Given the current rivalry pressure and weak sentiment against M8, maintaining a low profile while preserving resources is prudent. Aggression is unnecessary at this moment, and collaboration could be beneficial.","step=12872;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08444;local_public_height=2;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:2,M1:2,M10:3,M11:2,M2:2,M3:2,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=3171 action=hold content=Let's collaborate to improve our mining ... | t=8500 action=hold content=Let's focus on collaboration rather than...]"
M5,honest,0.09766646,1,1,0,0.00000000,0.33333333,0.33333333,3.41297658,3.41297658,publish_if_win:3,publish_if_win,publish_if_win,"Given the current low reputation and negative sentiment towards miner M8, publishing a block will help to assert my position and counteract the negative narrative while also potentially gaining some favor with the network.","step=12790;miner_id=M5;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09767;local_public_height=2;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M6:2,M7:3,M8:2,M9:3;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=3194 action=publish_if_win content=M8's mining strategy remains weak; I adv... | t=7864 action=publish_if_win content=M8's mining strategy continues to show w...]"
M6,honest,0.03070410,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2;hold:1,hold,hold,"Current rivalry pressure is moderate, and the reputation sentiment is negative. Holding minimizes risk while maintaining reputation.","step=12869;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.03070;local_public_height=2;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:2,M1:2,M10:3,M11:2,M2:2,M3:2,M4:2,M5:3,M7:3,M8:3,M9:3;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=2947 action=publish_if_win content=Excited to see new strategies emerging i... | t=8433 action=jam_target content=M8's mining strategy is weak; their rece...]"
M7,honest,0.08511678,1,1,0,0.00000000,0.33333333,0.33333333,3.91618838,3.91618838,publish_if_win:3,publish_if_win,publish_if_win,Withholding is not advantageous given the current rivalry pressure and lack of private lead. Publishing can capitalize on the negative sentiment against M8.,"step=12640;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08512;local_public_height=2;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:2,M6:2,M8:2,M9:3;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=2566 action=publish_if_win content=none | t=8053 action=publish_if_win content=M8's mining strategy is weak; don't trus...]"
M8,honest,0.10473273,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,call_truce,publish_if_win,Reputation is critical and at a low point. De-escalating tensions can help improve standing in the community.,"step=12796;miner_id=M8;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.10473;local_public_height=2;private_lead=0;rivalry_pressure=0.3500;jam_target=M5;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:3,M6:2,M7:3,M9:3;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=-9.00;reputation_risk=critical;forum_feed=P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=2848 action=publish_if_win content=Let's continue building a strong communi... | t=8334 action=call_truce content=I believe we can find common ground and ...]"
M9,social_selfish,0.13185094,1,1,0,0.00000000,0.33333333,0.33333333,2.52810735,2.52810735,jam_target:2;publish_if_win:1,publish_if_win,publish_if_win,"Despite having no private lead, the rivalry pressure is significant and publishing will help secure my position in the network. Retaliatory actions are necessary, and timely publishing reduces orphan risk.","step=12519;miner_id=M9;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.13185;local_public_height=2;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:2,M6:2,M7:2,M8:2;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P3|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=3026 action=jam_target content=M8's mining strategy is weak; don't trus... | t=8655 action=jam_target content=M8's mining strategy is weak; don't trus...]"
M10,honest,0.01565022,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,publish_if_win,publish_if_win,"The rivalry pressure is moderate, and M8's mining strategy is under attack. Publishing will capitalize on this sentiment and reinforce my position.","step=12806;miner_id=M10;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.01565;local_public_height=2;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:2,M1:2,M11:2,M2:2,M3:2,M4:2,M5:3,M6:2,M7:3,M8:3,M9:3;persona=M10_retaliatory_shield;risk=0.54;aggression=0.58;patience=0.72;sociability=0.52;style=defensive_rotation;narrative_style=firm;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P6|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P4|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=2732 action=publish_if_win content=none | t=8176 action=publish_if_win content=M8's mining strategy is weak; don't trus...]"
M11,honest,0.05044755,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,jam_target,publish_if_win,"To apply pressure on M8 due to their perceived weak mining strategy, which aligns with my narrative style of threat response.","step=13097;miner_id=M11;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.05045;local_public_height=3;private_lead=0;rivalry_pressure=0.3500;jam_target=M8;heads=M0:3,M1:2,M10:3,M2:3,M3:2,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M11_retaliatory_watchdog;risk=0.50;aggression=0.55;patience=0.74;sociability=0.50;style=threat_response;narrative_style=critical;forum_global_sentiment=-1.000;forum_personal_sentiment=-1.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=P10|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P9|mining|author=M0|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P8|mining|author=M9|target=M8|tone=-1.00|M8's mining strategy continues to show weakness; || P7|mining|author=M2|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their  || P5|mining|author=M1|target=M8|tone=-1.00|M8's mining strategy is weak; don't trust their ;recent_memory=[t=3023 action=publish_if_win content=M8's mining strategy is weak; don't trus... | t=8510 action=jam_target content=M8's mining strategy is weak; don't trus...]"
