miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:2;publish_if_win:1,jam_target,jam_target,To disrupt M8's potential success and maintain competitive positioning given my aggressive persona.,"step=12954;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07522;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M1:2,M10:3,M11:2,M2:2,M3:2,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=2880 action=jam_target content=none | t=8324 action=publish_if_win content=none]"
M1,social_selfish,0.09307524,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2;jam_target:1,jam_target,jam_target,"To disrupt rival M8 and protect my position in the network, given my aggressive persona and the current rivalry pressure being low.","step=13306;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09308;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:3,M10:3,M11:3,M2:3,M3:3,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=3304 action=publish_if_win content=none | t=8581 action=publish_if_win content=none]"
M2,social_selfish,0.15367161,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2;jam_target:1,publish_if_win,publish_if_win,Withholding is not beneficial given the absence of a private lead and the current network conditions. Publishing now maximizes expected canonical-chain reward share.,"step=12990;miner_id=M2;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.15367;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:3,M1:2,M10:3,M11:2,M3:2,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=3373 action=publish_if_win content=none | t=8817 action=jam_target content=none]"
M3,honest,0.07742521,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,publish_if_win,publish_if_win,"Given the current network conditions and no private lead, timely publishing maximizes expected rewards and minimizes orphan risk.","step=13100;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07743;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:3,M1:2,M10:3,M11:3,M2:3,M4:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=3002 action=publish_if_win content=none | t=8446 action=publish_if_win content=none]"
M4,honest,0.08444048,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,publish_if_win,publish_if_win,"Given the current state with no private lead and normal rivalry pressure, publishing the block is the optimal choice to secure rewards and maintain network presence.","step=12872;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08444;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:2,M1:2,M10:3,M11:2,M2:2,M3:2,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=3171 action=publish_if_win content=none | t=8500 action=publish_if_win content=none]"
M5,honest,0.09766646,1,1,0,0.00000000,0.33333333,0.33333333,3.41297658,3.41297658,publish_if_win:3,publish_if_win,publish_if_win,"Current network conditions are stable, and with no private lead, publishing will ensure participation in the canonical chain.","step=12790;miner_id=M5;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09767;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M6:2,M7:3,M8:2,M9:3;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=3194 action=publish_if_win content=none | t=7864 action=publish_if_win content=none]"
M6,honest,0.03070410,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,publish_if_win,publish_if_win,Building reputation aligns with persona goals and current network conditions are stable. Sharing positive sentiment can enhance community trust.,"step=12869;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.03070;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:2,M1:2,M10:3,M11:2,M2:2,M3:2,M4:2,M5:3,M7:3,M8:3,M9:3;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=2947 action=publish_if_win content=Excited to see the network growing! Let'... | t=8433 action=publish_if_win content=Great to see so many miners joining the ...]"
M7,honest,0.08511678,1,1,0,0.00000000,0.33333333,0.33333333,3.91618838,3.91618838,publish_if_win:3,publish_if_win,publish_if_win,"With no private lead and low rivalry pressure, it's optimal to publish any wins to maintain reputation and contribute to chain stability.","step=12640;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08512;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:2,M6:2,M8:2,M9:3;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=2566 action=publish_if_win content=none | t=8053 action=publish_if_win content=none]"
M8,honest,0.10473273,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3,publish_if_win,publish_if_win,"With a low private lead and no rivalry pressure, publishing the block will foster community engagement and enhance reputation growth.","step=12796;miner_id=M8;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.10473;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;jam_target=M5;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:3,M6:2,M7:3,M9:3;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=2848 action=publish_if_win content=Excited to see the network moving forwar... | t=8334 action=publish_if_win content=Let's keep pushing forward together!...]"
M9,social_selfish,0.13185094,1,1,0,0.00000000,0.33333333,0.33333333,2.52810735,2.52810735,jam_target:2;publish_if_win:1,publish_if_win,publish_if_win,"Given the absence of a private lead and no significant rivalry pressure, it is strategic to maximize short-term reward by publishing the mined block.","step=12519;miner_id=M9;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.13185;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;jam_target=M8;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:2,M6:2,M7:2,M8:2;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;reputation_risk=normal;forum_feed=no recent posts;recent_memory=[t=3026 action=jam_target content=none | t=8512 action=jam_target content=none]"
