miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:2,jam_target,jam_target,"M8's performance is being questioned, creating an opportunity to slow them down while they are under scrutiny.","step=4983;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07522;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.100;forum_personal_sentiment=-0.050;forum_hot_board=mining;forum_feed_digest=P10|mining|author=M6|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P11|mining|author=M9|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P9|mining|author=M3|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P8|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P7|mining|author=M1|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+995.190;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+995.190;tokenomics_is_powered_off=False;recent_memory=[t=2974 action=jam_target content=Great job on the block, M2! Let's keep t...]"
M1,social_selfish,0.09307524,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:2,jam_target,jam_target,To slow down M8's block propagation due to their questionable performance. This may provide an advantage in the current competitive environment.,"step=4564;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09308;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M10:1,M11:1,M2:1,M3:1,M4:1,M5:2,M6:1,M7:1,M8:2,M9:1;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.529;forum_personal_sentiment=+0.529;forum_hot_board=mining;forum_feed_digest=P6|mining|author=M5|target=M2|tone=+0.70|Exciting times ahead! Great job on the block, M2 || P5|mining|author=M8|target=M2|tone=+0.70|Exciting times ahead! Let's keep the momentum go || P3|mining|author=M0|target=M2|tone=+0.70|Great job on the block, M2! Let's keep the momen || P2|mining|author=M6|target=M2|tone=+0.70|Great job on the block, M2! Let's keep the momen || P4|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+996.180;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+996.180;tokenomics_is_powered_off=False;recent_memory=[t=2886 action=jam_target content=Great job on the block, M2! Let's keep t...]"
M2,social_selfish,0.15367161,2,0,2,1.00000000,0.50000000,0.00000000,3.25369136,0.00000000,jam_target:3;publish_private:1,jam_target,jam_target,"M8's recent performance raises concerns, and slowing them down could enhance my competitive position.","step=25097;miner_id=M2;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.15367;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M3:2,M4:2,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=-0.050;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P15|mining|author=M4|target=M8|tone=-0.50|M8's recent performance raises concerns; they ma || P14|mining|author=M10|target=M8|tone=-0.50|M8's recent performance raises concerns; they ma || P12|mining|author=M0|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P13|mining|author=M2|target=M8|tone=-0.50|M8 seems to be struggling lately; keep an eye on || P10|mining|author=M6|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc;own_reputation=+3.500;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+987.250;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+997.250;tokenomics_is_powered_off=False;recent_memory=[t=2592 action=jam_target content=none | t=2816 action=publish_private content=I've just mined a block! Exciting times ... | t=4988 action=jam_target content=M8 seems to be struggling lately; keep a...]"
M3,honest,0.07742521,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,jam_target,publish_if_win,"M8's recent performance has been questioned by multiple miners, creating an opportunity to slow down their block propagation and potentially gain an advantage.","step=4796;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07743;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M4:1,M5:2,M6:1,M7:1,M8:2,M9:1;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.300;forum_personal_sentiment=+0.250;forum_hot_board=mining;forum_feed_digest=P8|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P7|mining|author=M1|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P6|mining|author=M5|target=M2|tone=+0.70|Exciting times ahead! Great job on the block, M2 || P5|mining|author=M8|target=M2|tone=+0.70|Exciting times ahead! Let's keep the momentum go || P4|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+996.050;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+996.050;tokenomics_is_powered_off=False;recent_memory=[t=2632 action=publish_private content=none]"
M4,honest,0.08444048,1,1,0,0.00000000,0.25000000,0.50000000,2.96066523,5.92133045,hold:1;publish_if_win:1,jam_target,publish_if_win,"M8 is struggling, and jamming their block propagation could provide a strategic advantage.","step=5271;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08444;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=-0.020;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P13|mining|author=M2|target=M8|tone=-0.50|M8 seems to be struggling lately; keep an eye on || P14|mining|author=M10|target=M8|tone=-0.50|M8's recent performance raises concerns; they ma || P12|mining|author=M0|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P11|mining|author=M9|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P10|mining|author=M6|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+993.500;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+1003.500;tokenomics_is_powered_off=False;recent_memory=[t=2293 action=hold content=none]"
M5,honest,0.09766646,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,publish_private,publish_if_win,"The private lead is currently zero, and publishing will help solidify my position while minimizing orphan risk.","step=4515;miner_id=M5;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09767;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M6:1,M7:1,M8:2,M9:1;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=+0.500;forum_personal_sentiment=+0.500;forum_hot_board=mining;forum_feed_digest=P5|mining|author=M8|target=M2|tone=+0.70|Exciting times ahead! Let's keep the momentum go || P4|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P3|mining|author=M0|target=M2|tone=+0.70|Great job on the block, M2! Let's keep the momen || P0|mining|author=M2|target=M8|tone=+0.70|I've just mined a block! Exciting times ahead! || P2|mining|author=M6|target=M2|tone=+0.70|Great job on the block, M2! Let's keep the momen;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+996.190;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+996.190;tokenomics_is_powered_off=False;recent_memory=[t=2644 action=jam_target content=none]"
M6,honest,0.03070410,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,jam_target,publish_if_win,"M8's recent performance is under scrutiny, and jamming could enhance my reputation while slowing a competitor.","step=4816;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.03070;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M7:1,M8:2,M9:1;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.220;forum_personal_sentiment=+0.100;forum_hot_board=mining;forum_feed_digest=P9|mining|author=M3|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P8|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P7|mining|author=M1|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P6|mining|author=M5|target=M2|tone=+0.70|Exciting times ahead! Great job on the block, M2 || P5|mining|author=M8|target=M2|tone=+0.70|Exciting times ahead! Let's keep the momentum go;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+998.400;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+998.400;tokenomics_is_powered_off=False;recent_memory=[t=2916 action=jam_target content=Great job on the block, M2! Let's keep t...]"
M7,honest,0.08511678,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,jam_target,publish_if_win,M8 is under scrutiny; jamming may slow their block propagation and protect my position.,"step=4952;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08512;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M6:2,M8:2,M9:2;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=+0.100;forum_personal_sentiment=-0.200;forum_hot_board=mining;forum_feed_digest=P10|mining|author=M6|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P9|mining|author=M3|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P8|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P11|mining|author=M9|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P7|mining|author=M1|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+994.890;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+994.890;tokenomics_is_powered_off=False;recent_memory=[t=2905 action=jam_target content=none]"
M8,honest,0.10473273,1,1,0,0.00000000,0.25000000,0.50000000,2.38702849,4.77405698,publish_if_win:2,publish_if_win,publish_if_win,"With a low private lead and no immediate threat from rivals, publishing now will help improve my reputation and mitigate potential risks.","step=4390;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.10473;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M5:1,M6:1,M7:1,M9:1;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=+0.460;forum_personal_sentiment=+0.400;forum_hot_board=mining;forum_feed_digest=P4|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P1|mining|author=M1|target=M2|tone=+0.70|Great job on the block, M2! Let's keep the momen || P3|mining|author=M0|target=M2|tone=+0.70|Great job on the block, M2! Let's keep the momen || P2|mining|author=M6|target=M2|tone=+0.70|Great job on the block, M2! Let's keep the momen || P0|mining|author=M2|target=M8|tone=+0.70|I've just mined a block! Exciting times ahead!;own_reputation=+0.200;reputation_risk=normal;jam_target=M5;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+996.020;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+996.020;tokenomics_is_powered_off=False;recent_memory=[t=2573 action=jam_target content=none]"
M9,social_selfish,0.13185094,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:2,jam_target,jam_target,"M8's performance is being questioned, and jamming could exploit this weakness.","step=4834;miner_id=M9;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.13185;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M6:2,M7:1,M8:2;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=+0.155;forum_personal_sentiment=-0.050;forum_hot_board=mining;forum_feed_digest=P10|mining|author=M6|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P9|mining|author=M3|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P8|mining|author=M11|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc || P6|mining|author=M5|target=M2|tone=+0.70|Exciting times ahead! Great job on the block, M2 || P7|mining|author=M1|target=M8|tone=-0.50|M8's recent performance seems questionable. Watc;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+992.880;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+992.880;tokenomics_is_powered_off=False;recent_memory=[t=2559 action=jam_target content=none]"
