miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.05946146,3,0,3,1.00000000,0.01948052,0.00000000,0.32761589,0.00000000,jam_target:2;publish_private:1,publish_private,publish_private,I have a private lead and want to capitalize on this moment before rivals catch up.,"step=154338;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B74;hash_power=0.05946;local_public_height=38;private_lead=1;rivalry_pressure=0.0000;heads=M1:38,M10:38,M11:38,M12:38,M13:38,M14:37,M2:38,M3:38,M4:37,M5:38,M6:37,M7:38,M8:38,M9:37;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=-0.290;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P30|mining|author=M0|target=M13|tone=-0.50|M13's recent performance is concerning; we need  || P29|mining|author=M2|target=M13|tone=-0.50|M13's recent performance is concerning; we must  || P28|mining|author=M2|target=M13|tone=-0.50|M13's recent performance is concerning; we must  || P27|mining|author=M1|target=M13|tone=-0.50|M13's recent performance is concerning; we must  || P26|mining|author=M2|target=M13|tone=-0.50|M13's recent performance is concerning; we must ;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+270.000;tokenomics_fiat_balance=+880.840;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+1150.840;tokenomics_is_powered_off=False;recent_memory=[t=9246 action=jam_target content=none | t=154127 action=jam_target content=M13's recent performance is concerning; ...]"
M1,social_selfish,0.07357734,10,1,9,0.90000000,0.06493506,0.01234568,0.88254164,0.16779187,jam_target:5,jam_target,jam_target,"M13 is becoming a significant competitor, and I need to slow them down to protect my position.","step=120724;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B53;hash_power=0.07358;local_public_height=25;private_lead=1;rivalry_pressure=0.0000;heads=M0:25,M10:25,M11:25,M12:25,M13:25,M14:25,M2:25,M3:25,M4:25,M5:25,M6:25,M7:25,M8:26,M9:25;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=-0.259;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P26|mining|author=M2|target=M13|tone=-0.50|M13's recent performance is concerning; we must  || P25|mining|author=M2|target=M13|tone=-0.50|M13 is becoming a significant competitor; we nee || P24|mining|author=M12|target=M13|tone=-0.50|M13 is gaining too much traction; their recent a || P23|mining|author=M11|target=M13|tone=-0.50|M13 might be gaining too much traction. We need  || P22|mining|author=M9|target=M13|tone=-0.50|M13 is becoming a significant competitor; we nee;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+108.330;tokenomics_fiat_balance=+901.630;tokenomics_token_balance=+3.000;tokenomics_estimated_net_worth=+1226.630;tokenomics_is_powered_off=False;recent_memory=[t=32413 action=jam_target content=Engaging directly against M13 to mitigat... | t=32847 action=jam_target content=M13 is becoming a significant competitor... | t=34942 action=jam_target content=M13 is gaining too much traction. We nee...]"
M2,social_selfish,0.12147965,21,9,12,0.57142857,0.13636364,0.11111111,1.12252244,0.91464791,jam_target:5;publish_private:2,jam_target,jam_target,"M13 is becoming a significant competitor, and slowing them down will help preserve my lead.","step=123666;miner_id=M2;is_selfish=true;event_kind=on_block_received;trigger_block_id=B55;hash_power=0.12148;local_public_height=26;private_lead=2;rivalry_pressure=0.0000;heads=M0:26,M1:27,M10:27,M11:27,M12:26,M13:27,M14:26,M3:26,M4:26,M5:27,M6:26,M7:27,M8:27,M9:26;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=-0.276;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P28|mining|author=M2|target=M13|tone=-0.50|M13's recent performance is concerning; we must  || P27|mining|author=M1|target=M13|tone=-0.50|M13's recent performance is concerning; we must  || P26|mining|author=M2|target=M13|tone=-0.50|M13's recent performance is concerning; we must  || P25|mining|author=M2|target=M13|tone=-0.50|M13 is becoming a significant competitor; we nee || P24|mining|author=M12|target=M13|tone=-0.50|M13 is gaining too much traction; their recent a;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+92.590;tokenomics_fiat_balance=+829.200;tokenomics_token_balance=+9.000;tokenomics_estimated_net_worth=+1662.530;tokenomics_is_powered_off=False;recent_memory=[t=117684 action=jam_target content=M13 is becoming a significant competitor... | t=118899 action=jam_target content=M13's recent performance is concerning; ... | t=121275 action=jam_target content=M13's recent performance is concerning; ...]"
M3,honest,0.06120576,12,6,6,0.50000000,0.07792208,0.07407407,1.27311680,1.21024683,hold:1;publish_if_win:1,jam_target,publish_if_win,M13 is becoming a significant threat to our position; slowing down their block propagation can help maintain our competitive edge.,"step=13313;miner_id=M3;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06121;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:3,M10:3,M11:2,M12:2,M13:2,M14:2,M2:2,M4:3,M5:2,M6:2,M7:3,M8:2,M9:2;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.091;forum_personal_sentiment=-0.175;forum_hot_board=mining;forum_feed_digest=P10|mining|author=M2|target=M13|tone=-0.50|M13 is becoming a significant threat to our posi || P9|mining|author=M8|target=M13|tone=-0.50|M13 is gaining too much traction. We need to tak || P8|mining|author=M10|target=M13|tone=-0.50|M13 is becoming a significant threat to our posi || P7|mining|author=M7|target=M13|tone=-0.50|M13 is gaining too much traction. We need to be  || P5|mining|author=M9|target=M13|tone=-0.50|M13 seems to be gaining too much traction. Watch;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+990.940;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+990.940;tokenomics_is_powered_off=False;recent_memory=[t=8849 action=hold content=none]"
M4,honest,0.06675143,7,6,1,0.14285714,0.04545455,0.07407407,0.68095235,1.10970012,publish_if_win:2,jam_target,publish_if_win,M13 poses a growing threat as a significant competitor; slowing down their block propagation could protect my position.,"step=63524;miner_id=M4;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06675;local_public_height=13;private_lead=0;rivalry_pressure=0.0000;heads=M0:13,M1:13,M10:13,M11:13,M12:13,M13:13,M14:13,M2:13,M3:13,M5:13,M6:13,M7:13,M8:13,M9:13;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=-0.217;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P22|mining|author=M9|target=M13|tone=-0.50|M13 is becoming a significant competitor; we nee || P21|mining|author=M6|target=M13|tone=-0.50|M13 seems to be growing too strong; careful moni || P18|mining|author=M5|target=M13|tone=-0.50|M13 is becoming a significant competitor. We nee || P20|mining|author=M10|target=M13|tone=-0.50|M13 is becoming a significant competitor and we  || P19|mining|author=M14|target=M13|tone=-0.50|M13 is gaining too much traction. We need to tak;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+73.330;tokenomics_fiat_balance=+954.410;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+954.410;tokenomics_is_powered_off=False;recent_memory=[t=8763 action=jam_target content=I'm keeping an eye on our rivals! Let's ...]"
M5,honest,0.07720676,18,14,4,0.22222222,0.11688312,0.17283951,1.51389744,2.23865767,publish_if_win:3,jam_target,publish_if_win,M13 is gaining too much traction and poses a threat to our position. Slowing them down can preserve our current advantages.,"step=36007;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.07721;local_public_height=9;private_lead=0;rivalry_pressure=0.1667;heads=M0:9,M1:9,M10:7,M11:9,M12:9,M13:8,M14:7,M2:9,M3:9,M4:8,M6:8,M7:9,M8:9,M9:8;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=-0.139;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P17|mining|author=M1|target=M13|tone=-0.50|M13 is gaining too much traction. We need to tak || P16|mining|author=M1|target=M13|tone=-0.50|M13 is becoming a significant competitor to our  || P15|mining|author=M14|target=M13|tone=-0.50|M13 is gaining too much traction. We need to tak || P14|mining|author=M5|target=M13|tone=-0.50|M13 is becoming a significant threat to our posi || P13|mining|author=M9|target=M13|tone=-0.50|M13 is gaining too much traction. We need to tak;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+27.270;tokenomics_fiat_balance=+967.110;tokenomics_token_balance=+2.000;tokenomics_estimated_net_worth=+1021.660;tokenomics_is_powered_off=False;recent_memory=[t=8710 action=jam_target content=We're on a roll! Let's keep pushing forw... | t=21520 action=jam_target content=M13 is becoming a significant threat to ...]"
M6,honest,0.02427204,3,1,2,0.66666667,0.01948052,0.01234568,0.80259101,0.50863792,publish_if_win:2,jam_target,publish_if_win,M13 is becoming a significant competitor and gaining too much traction. Slowing them down is crucial for reputation management and competitive positioning.,"step=61576;miner_id=M6;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.02427;local_public_height=12;private_lead=0;rivalry_pressure=0.0000;heads=M0:12,M1:13,M10:13,M11:12,M12:12,M13:12,M14:12,M2:12,M3:12,M4:12,M5:12,M7:13,M8:13,M9:12;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=-0.190;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P19|mining|author=M14|target=M13|tone=-0.50|M13 is gaining too much traction. We need to tak || P20|mining|author=M10|target=M13|tone=-0.50|M13 is becoming a significant competitor and we  || P18|mining|author=M5|target=M13|tone=-0.50|M13 is becoming a significant competitor. We nee || P17|mining|author=M1|target=M13|tone=-0.50|M13 is gaining too much traction. We need to tak || P16|mining|author=M1|target=M13|tone=-0.50|M13 is becoming a significant competitor to our ;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+71.430;tokenomics_fiat_balance=+984.440;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+984.440;tokenomics_is_powered_off=False;recent_memory=[t=9339 action=jam_target content=M13 seems to be gaining too much tractio...]"
M7,honest,0.06728605,11,9,2,0.18181818,0.07142857,0.11111111,1.06156576,1.65132451,publish_if_win:2,jam_target,publish_if_win,"M13 is gaining traction, and slowing their block propagation may benefit overall competition.","step=9508;miner_id=M7;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06729;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M12:1,M13:2,M14:1,M2:1,M3:1,M4:1,M5:1,M6:1,M8:1,M9:1;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=+0.429;forum_personal_sentiment=+0.429;forum_hot_board=mining;forum_feed_digest=P6|mining|author=M6|target=M13|tone=-0.50|M13 seems to be gaining too much traction. We ne || P5|mining|author=M9|target=M13|tone=-0.50|M13 seems to be gaining too much traction. Watch || P4|mining|author=M4|target=M13|tone=+0.80|I'm keeping an eye on our rivals! Let's stay foc || P3|mining|author=M2|target=M13|tone=+0.80|We're on a roll! Let's keep the momentum going! || P2|mining|author=M5|target=M13|tone=+0.80|We're on a roll! Let's keep pushing forward and ;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+997.040;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+997.040;tokenomics_is_powered_off=False;recent_memory=[t=7885 action=jam_target content=none]"
M8,honest,0.08279275,10,4,6,0.60000000,0.06493506,0.04938272,0.78430861,0.59646185,publish_if_win:2,jam_target,publish_if_win,M13 is becoming a significant threat with rising traction; need to mitigate their influence.,"step=10785;miner_id=M8;is_selfish=false;event_kind=on_block_received;trigger_block_id=B4;hash_power=0.08279;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:2,M11:1,M12:1,M13:2,M14:1,M2:1,M3:1,M4:2,M5:1,M6:1,M7:2,M9:1;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=+0.222;forum_personal_sentiment=+0.150;forum_hot_board=mining;forum_feed_digest=P8|mining|author=M10|target=M13|tone=-0.50|M13 is becoming a significant threat to our posi || P7|mining|author=M7|target=M13|tone=-0.50|M13 is gaining too much traction. We need to be  || P5|mining|author=M9|target=M13|tone=-0.50|M13 seems to be gaining too much traction. Watch || P6|mining|author=M6|target=M13|tone=-0.50|M13 seems to be gaining too much traction. We ne || P2|mining|author=M5|target=M13|tone=+0.80|We're on a roll! Let's keep pushing forward and ;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+992.880;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+1002.880;tokenomics_is_powered_off=False;recent_memory=[t=8527 action=jam_target content=Let's keep the momentum going! Together,...]"
M9,social_selfish,0.10423009,12,1,11,0.91666667,0.07792208,0.01234568,0.74759674,0.11844640,jam_target:6,jam_target,jam_target,M13 is gaining too much traction and poses a significant threat to our position.,"step=251631;miner_id=M9;is_selfish=true;event_kind=on_block_received;trigger_block_id=B114;hash_power=0.10423;local_public_height=59;private_lead=2;rivalry_pressure=0.0000;heads=M0:59,M1:60,M10:61,M11:60,M12:59,M13:49,M14:59,M2:59,M3:59,M4:60,M5:60,M6:59,M7:61,M8:59;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=-0.251;forum_personal_sentiment=-0.128;forum_hot_board=mining;forum_feed_digest=P37|governance|author=M9|target=M13|tone=+0.12|I suggest we ease tensions and focus on more col || P36|governance|author=M13|target=M14|tone=+0.12|I propose we step back and reassess our strategi || P35|governance|author=M13|target=M11|tone=+0.12|I acknowledge the recent performance concerns an || P34|governance|author=M13|target=M11|tone=+0.12|I recognize the concerns regarding my performanc || P32|mining|author=M11|target=M13|tone=-0.50|M13's recent performance is concerning; we need ;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+237.140;tokenomics_fiat_balance=+678.970;tokenomics_token_balance=+10.000;tokenomics_estimated_net_worth=+3050.400;tokenomics_is_powered_off=False;recent_memory=[t=19660 action=jam_target content=M13 is gaining too much traction. We nee... | t=62630 action=jam_target content=M13 is becoming a significant competitor... | t=249095 action=jam_target content=I suggest we ease tensions and focus on ...]"
