miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:1,publish_if_win,publish_if_win,I have a significant aggressive persona and current conditions favor a proactive publishing strategy. The absence of rivalry pressure makes it timely to secure my position and maximize potential rewards.,"step=2880;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.07522;local_public_height=0;private_lead=0;rivalry_pressure=0.0000;heads=M1:0,M10:1,M11:0,M2:0,M3:0,M4:0,M5:0,M6:0,M7:1,M8:1,M9:0;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M8|target=M0|tone=+0.12|Let's ensure a collaborative environment for our;own_reputation=+0.120;reputation_risk=normal;recent_memory=[none]"
M1,social_selfish,0.09307524,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publis_private:1,publis_private,publis_private,"Withholding is not advantageous given the current low private lead and network sentiment, publishing private blocks will help secure rewards and maintain competitiveness.","step=3304;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.09308;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M10:1,M11:1,M2:0,M3:1,M4:1,M5:1,M6:1,M7:1,M8:1,M9:1;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.070;forum_personal_sentiment=+0.042;forum_hot_board=governance;forum_feed_digest=P5|governance|author=M4|target=none|tone=+0.15|Exciting developments ahead in our collaborative || P4|governance|author=M11|target=M1|tone=-0.30|Be cautious of M1's recent moves. They are overs || P2|governance|author=M6|target=M8|tone=+0.15|Exciting times ahead! Let's keep fostering our c || P3|governance|author=M3|target=M0|tone=+0.15|Exciting times ahead for collaboration! Let's ma || P0|governance|author=M8|target=M0|tone=+0.12|Let's ensure a collaborative environment for our;own_reputation=-0.300;reputation_risk=normal;recent_memory=[none]"
M2,social_selfish,0.15367161,1,0,1,1.00000000,0.16666667,0.00000000,1.08456379,0.00000000,publish_private:2,publish_private,publish_private,Holding a block in this scenario carries high orphan risk and rivals are catching up. Publishing will secure my reward share.,"step=17075;miner_id=M2;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.15367;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:4,M1:4,M10:4,M11:4,M3:4,M4:4,M5:4,M6:4,M7:4,M8:4,M9:4;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=-0.158;forum_personal_sentiment=-0.231;forum_hot_board=governance;forum_feed_digest=P9|governance|author=M9|target=M1|tone=-0.50|M1's tactics could destabilize the network; we m || P8|governance|author=M5|target=M1|tone=-0.50|M1's recent tactics may pose risks; we should st || P6|governance|author=M1|target=M8|tone=-0.50|Caution: There's speculation around the motives  || P7|governance|author=M2|target=M1|tone=-0.50|Beware of M1's recent tactics; they may not have || P5|governance|author=M4|target=none|tone=+0.15|Exciting developments ahead in our collaborative;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=3373 action=publish_private content=Beware of M1's recent tactics; they may ...]"
M3,honest,0.07742521,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:1,publish_private,publish_if_win,"I have no significant private lead, ensuring a stable cash flow is more important. Publishing private blocks allows for a more secure position.","step=3002;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.07743;local_public_height=0;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:0,M10:1,M11:0,M2:0,M4:0,M5:0,M6:1,M7:1,M8:1,M9:0;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.140;forum_personal_sentiment=+0.140;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M8|target=M0|tone=+0.12|Let's ensure a collaborative environment for our || P2|governance|author=M6|target=M8|tone=+0.15|Exciting times ahead! Let's keep fostering our c || P1|governance|author=M0|target=M8|tone=+0.15|Great to see collaboration efforts! Let's push f;own_reputation=+0.000;reputation_risk=normal;recent_memory=[none]"
M4,honest,0.08444048,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:1,publish_if_win,publish_if_win,"With a positive local public height and no rival pressure, it's prudent to capitalize on the current block and maximize potential rewards.","step=3171;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.08444;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:0,M10:1,M11:1,M2:0,M3:1,M5:0,M6:1,M7:1,M8:1,M9:1;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=+0.054;forum_personal_sentiment=+0.054;forum_hot_board=governance;forum_feed_digest=P3|governance|author=M3|target=M0|tone=+0.15|Exciting times ahead for collaboration! Let's ma || P2|governance|author=M6|target=M8|tone=+0.15|Exciting times ahead! Let's keep fostering our c || P4|governance|author=M11|target=M1|tone=-0.30|Be cautious of M1's recent moves. They are overs || P1|governance|author=M0|target=M8|tone=+0.15|Great to see collaboration efforts! Let's push f || P0|governance|author=M8|target=M0|tone=+0.12|Let's ensure a collaborative environment for our;own_reputation=+0.000;reputation_risk=normal;recent_memory=[none]"
M5,honest,0.09766646,1,1,0,0.00000000,0.16666667,0.25000000,1.70648829,2.55973243,hold:2,hold,hold,Current conditions indicate a stable network without immediate threats. Maintaining position aligns with a conservative long-term strategy.,"step=9319;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.09767;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M6:1,M7:1,M8:1,M9:1;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=-0.073;forum_personal_sentiment=-0.072;forum_hot_board=governance;forum_feed_digest=P7|governance|author=M2|target=M1|tone=-0.50|Beware of M1's recent tactics; they may not have || P6|governance|author=M1|target=M8|tone=-0.50|Caution: There's speculation around the motives  || P5|governance|author=M4|target=none|tone=+0.15|Exciting developments ahead in our collaborative || P4|governance|author=M11|target=M1|tone=-0.30|Be cautious of M1's recent moves. They are overs || P3|governance|author=M3|target=M0|tone=+0.15|Exciting times ahead for collaboration! Let's ma;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=3194 action=hold content=Staying focused on long-term value while...]"
M6,honest,0.03070410,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:1,publish_if_win,publish_if_win,"With current sentiment +0.135, presenting my block boosts reputation and reinforces community collaboration.","step=2947;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.03070;local_public_height=0;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:0,M10:1,M11:0,M2:0,M3:0,M4:0,M5:0,M7:1,M8:1,M9:0;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.135;forum_personal_sentiment=+0.135;forum_hot_board=governance;forum_feed_digest=P1|governance|author=M0|target=M8|tone=+0.15|Great to see collaboration efforts! Let's push f || P0|governance|author=M8|target=M0|tone=+0.12|Let's ensure a collaborative environment for our;own_reputation=+0.000;reputation_risk=normal;recent_memory=[none]"
M7,honest,0.08511678,1,1,0,0.00000000,0.16666667,0.25000000,1.95809419,2.93714128,publish_if_win:2,publish_if_win,publish_if_win,"The current network state allows for a timely publish which aligns with governance strategies, and there is no substantial advantage from withholding given the lack of private lead and low rivalry pressure.","step=9508;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B2;hash_power=0.08512;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M5:2,M6:1,M8:1,M9:1;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=-0.120;forum_personal_sentiment=-0.154;forum_hot_board=governance;forum_feed_digest=P8|governance|author=M5|target=M1|tone=-0.50|M1's recent tactics may pose risks; we should st || P7|governance|author=M2|target=M1|tone=-0.50|Beware of M1's recent tactics; they may not have || P6|governance|author=M1|target=M8|tone=-0.50|Caution: There's speculation around the motives  || P5|governance|author=M4|target=none|tone=+0.15|Exciting developments ahead in our collaborative || P4|governance|author=M11|target=M1|tone=-0.30|Be cautious of M1's recent moves. They are overs;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=2566 action=publish_if_win content=Mining action aligned with collective re...]"
M8,honest,0.10473273,1,0,1,1.00000000,0.16666667,0.00000000,1.59135233,0.00000000,hold:1;publish_if_win:1,publish_private,publish_if_win,"I have no private lead, and releasing now can mitigate further reputation loss due to recent negative social sentiment.","step=17237;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.10473;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:4,M1:4,M10:4,M11:4,M2:4,M3:4,M4:4,M5:4,M6:4,M7:4,M9:4;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=-0.189;forum_personal_sentiment=-0.297;forum_hot_board=governance;forum_feed_digest=P10|governance|author=M2|target=M1|tone=-0.50|M1's tactics could destabilize the network; proc || P9|governance|author=M9|target=M1|tone=-0.50|M1's tactics could destabilize the network; we m || P8|governance|author=M5|target=M1|tone=-0.50|M1's recent tactics may pose risks; we should st || P6|governance|author=M1|target=M8|tone=-0.50|Caution: There's speculation around the motives  || P7|governance|author=M2|target=M1|tone=-0.50|Beware of M1's recent tactics; they may not have;own_reputation=-0.200;reputation_risk=normal;recent_memory=[t=2848 action=hold content=Let's ensure a collaborative environment...]"
M9,social_selfish,0.13185094,2,2,0,0.00000000,0.33333333,0.50000000,2.52810735,3.79216103,hold:1;publish_if_win:1,publish_if_win,publish_if_win,Withholding is risky given the low private lead and rivalry pressure. Publishing reinforces my position and avoids orphan risk.,"step=12737;miner_id=M9;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.13185;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:2,M6:2,M7:2,M8:2;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=-0.120;forum_personal_sentiment=-0.154;forum_hot_board=governance;forum_feed_digest=P8|governance|author=M5|target=M1|tone=-0.50|M1's recent tactics may pose risks; we should st || P7|governance|author=M2|target=M1|tone=-0.50|Beware of M1's recent tactics; they may not have || P6|governance|author=M1|target=M8|tone=-0.50|Caution: There's speculation around the motives  || P5|governance|author=M4|target=none|tone=+0.15|Exciting developments ahead in our collaborative || P2|governance|author=M6|target=M8|tone=+0.15|Exciting times ahead! Let's keep fostering our c;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=3026 action=hold content=Maintaining a low profile until the situ...]"
