miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,10,3,7,0.70000000,0.07518797,0.08333333,0.99959179,1.10788090,publish_if_win:14;publish_private:5,publish_if_win,publish_if_win,"I have mined a block and the current network sentiment is positive. Given my aggressive strategy and the lack of rivalry pressure, this is a good opportunity to maximize my reward.","step=11792;miner_id=M0;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.07522;local_public_height=36;private_lead=0;rivalry_pressure=0.0000;heads=M1:36,M10:34,M11:36,M2:36,M3:35,M4:36,M5:36,M6:36,M7:36,M8:35,M9:36;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.857;forum_personal_sentiment=+0.881;forum_hot_board=mining;forum_feed_digest=P214|mining|author=M6|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P213|mining|author=M1|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P212|mining|author=M2|target=none|tone=+0.90|We're on a roll! Let’s keep this winning streak  || P211|mining|author=M6|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P208|mining|author=M2|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=10967 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11022 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11536 action=publish_if_win content=We're on a winning streak! Let's keep th...]"
M1,social_selfish,0.09307524,8,0,8,1.00000000,0.06015038,0.00000000,0.64625537,0.00000000,publish_private:12;publish_if_win:6;hold:1,publish_private,publish_private,"The private lead is fragile, and the current network sentiment is high. Publishing private blocks will sustain momentum while protecting potential gains.","step=11679;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B123;hash_power=0.09308;local_public_height=35;private_lead=0;rivalry_pressure=0.0000;heads=M0:36,M10:34,M11:36,M2:36,M3:34,M4:35,M5:36,M6:35,M7:35,M8:34,M9:35;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.857;forum_personal_sentiment=+0.869;forum_hot_board=mining;forum_feed_digest=P212|mining|author=M2|target=none|tone=+0.90|We're on a roll! Let’s keep this winning streak  || P210|mining|author=M11|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P209|mining|author=M4|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P208|mining|author=M2|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P211|mining|author=M6|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=8606 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=9711 action=publish_if_win content=We're on a winning streak! Let's keep pu... | t=10407 action=publish_private content=We're continuing our winning streak! Let...]"
M2,social_selfish,0.15367161,24,11,13,0.54166667,0.18045113,0.30555556,1.17426455,1.98836694,publish_if_win:18;publish_private:13;withhold_if_win:1,publish_if_win,publish_if_win,"Current sentiment is highly positive, and I have a strong public reputation. Publishing will reinforce my position in the network and capitalize on the momentum.","step=11614;miner_id=M2;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.15367;local_public_height=34;private_lead=0;rivalry_pressure=0.0000;heads=M0:35,M1:34,M10:34,M11:36,M3:34,M4:34,M5:36,M6:35,M7:35,M8:34,M9:34;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=+0.857;forum_personal_sentiment=+0.862;forum_hot_board=mining;forum_feed_digest=P209|mining|author=M4|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P207|mining|author=M0|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P211|mining|author=M6|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P210|mining|author=M11|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P206|mining|author=M9|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment;own_reputation=+0.850;reputation_risk=normal;recent_memory=[t=10459 action=publish_private content=We're solidifying our dominance! Let's k... | t=10841 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11571 action=publish_if_win content=We're on a winning streak! Let's keep th...]"
M3,honest,0.07742521,13,5,8,0.61538462,0.09774436,0.13888889,1.26243587,1.79384584,publish_if_win:21,publish_if_win,publish_if_win,"The network sentiment is high, and I can capitalize on the current momentum. Given my conservative approach, it's essential to maintain visibility and reinforce my position while the atmosphere is favorable.","step=11106;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B116;hash_power=0.07743;local_public_height=33;private_lead=0;rivalry_pressure=0.0000;heads=M0:34,M1:33,M10:33,M11:33,M2:33,M4:33,M5:33,M6:33,M7:33,M8:32,M9:33;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.862;forum_personal_sentiment=+0.850;forum_hot_board=mining;forum_feed_digest=P196|mining|author=M11|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P199|mining|author=M10|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P198|mining|author=M0|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P197|mining|author=M0|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P195|mining|author=M5|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=9680 action=publish_private content=We're solidifying our position! Let's ke... | t=9977 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=10409 action=publish_if_win content=We're on a winning streak! Let's keep th...]"
M4,honest,0.08444048,14,3,11,0.78571429,0.10526316,0.08333333,1.24659588,0.98688841,publish_if_win:23,publish_if_win,publish_if_win,"The current network sentiment is positive, and maintaining a coherent narrative aligns with the prevailing tone. Publishing will enhance my reputation and secure my position.","step=11584;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B122;hash_power=0.08444;local_public_height=34;private_lead=0;rivalry_pressure=0.0000;heads=M0:35,M1:34,M10:34,M11:35,M2:35,M3:34,M5:36,M6:34,M7:35,M8:34,M9:34;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=+0.858;forum_personal_sentiment=+0.856;forum_hot_board=mining;forum_feed_digest=P206|mining|author=M9|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P208|mining|author=M2|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P207|mining|author=M0|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P205|mining|author=M5|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P203|mining|author=M5|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=9101 action=publish_if_win content=We're riding a wave of success! Let's ke... | t=10409 action=publish_if_win content=We're continuing our winning streak! Let... | t=10809 action=publish_if_win content=We're maintaining our winning streak! Le...]"
M5,honest,0.09766646,16,9,7,0.43750000,0.12030075,0.25000000,1.23175095,2.55973243,publish_if_win:22;hold:1,publish_if_win,publish_if_win,"Current public sentiment is highly positive, and the network is in a winning streak. Publishing will strengthen my reputation and align with the favorable environment.","step=11960;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.09767;local_public_height=36;private_lead=0;rivalry_pressure=0.0000;heads=M0:37,M1:36,M10:36,M11:36,M2:36,M3:36,M4:36,M6:37,M7:36,M8:36,M9:37;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=+0.857;forum_personal_sentiment=+0.894;forum_hot_board=mining;forum_feed_digest=P217|mining|author=M9|target=none|tone=+0.90|We're on a winning streak! Let's keep this momen || P216|mining|author=M5|target=none|tone=+0.90|We're on a winning streak! Let’s keep this momen || P214|mining|author=M6|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P215|mining|author=M0|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P212|mining|author=M2|target=none|tone=+0.90|We're on a roll! Let’s keep this winning streak ;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=11254 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11363 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11908 action=publish_if_win content=We're on a winning streak! Let’s keep th...]"
M6,honest,0.03070410,4,0,4,1.00000000,0.03007519,0.00000000,0.97951705,0.00000000,publish_if_win:14,publish_if_win,publish_if_win,"Current sentiment is strong, and maintaining a positive reputation aligns with my persona as a reputation builder. Timely publishing will reinforce community trust and support.","step=11733;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B124;hash_power=0.03070;local_public_height=36;private_lead=0;rivalry_pressure=0.0000;heads=M0:36,M1:35,M10:34,M11:36,M2:36,M3:35,M4:35,M5:36,M7:35,M8:34,M9:36;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.857;forum_personal_sentiment=+0.875;forum_hot_board=mining;forum_feed_digest=P213|mining|author=M1|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P207|mining|author=M0|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P212|mining|author=M2|target=none|tone=+0.90|We're on a roll! Let’s keep this winning streak  || P211|mining|author=M6|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P210|mining|author=M11|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=9292 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=10649 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11610 action=publish_if_win content=We're on a winning streak! Let's keep th...]"
M7,honest,0.08511678,12,3,9,0.75000000,0.09022556,0.08333333,1.06002091,0.97904709,publish_if_win:21,publish_if_win,publish_if_win,"We are currently in a winning streak and our public sentiment is high, which can help solidify our reputation and position.","step=11394;miner_id=M7;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.08512;local_public_height=34;private_lead=0;rivalry_pressure=0.0000;heads=M0:34,M1:34,M10:33,M11:34,M2:33,M3:33,M4:33,M5:36,M6:34,M8:33,M9:33;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=+0.859;forum_personal_sentiment=+0.850;forum_hot_board=mining;forum_feed_digest=P205|mining|author=M5|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P204|mining|author=M7|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P203|mining|author=M5|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P202|mining|author=M8|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P199|mining|author=M10|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=9703 action=publish_if_win content=We're solidifying our position! Let's ke... | t=10073 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11262 action=publish_if_win content=We're on a winning streak! Let's keep th...]"
M8,honest,0.10473273,10,2,8,0.80000000,0.07518797,0.05555556,0.71790330,0.53045078,publish_if_win:19,publish_if_win,publish_if_win,The current network sentiment is very positive with a winning streak narrative. This aligns with the community-first approach and will enhance reputation growth.,"step=11197;miner_id=M8;is_selfish=false;event_kind=on_block_received;trigger_block_id=B116;hash_power=0.10473;local_public_height=33;private_lead=0;rivalry_pressure=0.0000;heads=M0:34,M1:33,M10:33,M11:33,M2:33,M3:33,M4:33,M5:34,M6:34,M7:33,M9:33;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=+0.861;forum_personal_sentiment=+0.850;forum_hot_board=mining;forum_feed_digest=P201|mining|author=M5|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P200|mining|author=M3|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P195|mining|author=M5|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P199|mining|author=M10|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P198|mining|author=M0|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=8854 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=9929 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=10260 action=publish_if_win content=We're on a winning streak! Let's keep th...]"
M9,social_selfish,0.13185094,16,0,16,1.00000000,0.12030075,0.00000000,0.91239965,0.00000000,publish_private:17;publish_if_win:11,publish_if_win,publish_if_win,"I have mined a block and should capitalize on the network's positive sentiment and my current position. With a public height of 36 and no rival pressure, it's a good opportunity to publish.","step=11960;miner_id=M9;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.13185;local_public_height=36;private_lead=0;rivalry_pressure=0.0000;heads=M0:37,M1:36,M10:36,M11:36,M2:36,M3:36,M4:36,M5:38,M6:37,M7:36,M8:36;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=+0.857;forum_personal_sentiment=+0.888;forum_hot_board=mining;forum_feed_digest=P216|mining|author=M5|target=none|tone=+0.90|We're on a winning streak! Let’s keep this momen || P214|mining|author=M6|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P215|mining|author=M0|target=none|tone=+0.90|We're on a winning streak! Let's keep the moment || P211|mining|author=M6|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment || P209|mining|author=M4|target=none|tone=+0.85|We're on a winning streak! Let's keep the moment;own_reputation=+0.000;reputation_risk=normal;recent_memory=[t=10523 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=10633 action=publish_if_win content=We're on a winning streak! Let's keep th... | t=11472 action=publish_if_win content=We're on a winning streak! Let's keep th...]"
