miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.05946146,9,1,8,0.88888889,0.07563025,0.01234568,1.27192053,0.20762489,publish_private:2;jam_target:1,publish_private,publish_private,Maintaining my private lead and maximizing reward share despite existing rival pressures.,"step=54965;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B23;hash_power=0.05946;local_public_height=14;private_lead=1;rivalry_pressure=0.0000;heads=M1:15,M10:15,M11:14,M12:15,M13:15,M14:14,M2:15,M3:15,M4:14,M5:14,M6:14,M7:14,M8:15,M9:14;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+55.560;tokenomics_fiat_balance=+958.500;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+1014.050;tokenomics_is_powered_off=False;recent_memory=[t=7049 action=jam_target content=none | t=54174 action=publish_private content=Continuing to engage actively in the min...]"
M1,social_selfish,0.07357734,7,1,6,0.85714286,0.05882353,0.01234568,0.79947889,0.16779187,publish_if_win:1;publish_private:1;jam_target:1,jam_target,jam_target,"Slowing down M13 will provide an advantage by delaying their mining efforts, maintaining my edge.","step=84246;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B32;hash_power=0.07358;local_public_height=20;private_lead=1;rivalry_pressure=0.0000;heads=M0:20,M10:20,M11:21,M12:20,M13:20,M14:20,M2:20,M3:20,M4:20,M5:20,M6:20,M7:20,M8:20,M9:20;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+110.530;tokenomics_fiat_balance=+927.970;tokenomics_token_balance=+1.000;tokenomics_estimated_net_worth=+1038.490;tokenomics_is_powered_off=False;recent_memory=[t=7045 action=publish_if_win content=none | t=82974 action=publish_private content=none]"
M2,social_selfish,0.12147965,11,1,10,0.90909091,0.09243697,0.01234568,0.76092558,0.10162755,publish_private:2;publish_if_win:1;jam_target:1,publish_private,publish_private,To maximize return on my current private lead while minimizing orphan risk.,"step=51695;miner_id=M2;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.12148;local_public_height=13;private_lead=1;rivalry_pressure=0.0000;heads=M0:13,M1:13,M10:13,M11:13,M12:13,M13:13,M14:13,M3:13,M4:13,M5:13,M6:13,M7:13,M8:13,M9:13;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+44.440;tokenomics_fiat_balance=+923.830;tokenomics_token_balance=+5.000;tokenomics_estimated_net_worth=+1146.050;tokenomics_is_powered_off=False;recent_memory=[t=5313 action=publish_private content=none | t=7046 action=publish_if_win content=none | t=8530 action=jam_target content=none]"
M3,honest,0.06120576,10,10,0,0.00000000,0.08403361,0.12345679,1.37296909,2.01707805,publish_if_win:2,publish_if_win,publish_if_win,"I have mined a block and now have the opportunity to publish it, considering my stable recognition and current non-selfish behavior.","step=28933;miner_id=M3;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06121;local_public_height=6;private_lead=0;rivalry_pressure=0.0000;heads=M0:6,M1:6,M10:6,M11:6,M12:6,M13:6,M14:6,M2:6,M4:6,M5:6,M6:6,M7:6,M8:6,M9:6;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+71.430;tokenomics_fiat_balance=+982.370;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+982.370;tokenomics_is_powered_off=False;recent_memory=[t=7047 action=publish_if_win content=none]"
M4,honest,0.06675143,7,7,0,0.00000000,0.05882353,0.08641975,0.88123245,1.29465014,publish_if_win:2,publish_if_win,publish_if_win,No private lead and the block mined should be published to avoid orphan risk and maintain consistent mining rewards.,"step=34476;miner_id=M4;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06675;local_public_height=8;private_lead=0;rivalry_pressure=0.0000;heads=M0:8,M1:8,M10:8,M11:8,M12:8,M13:8,M14:8,M2:8,M3:8,M5:8,M6:8,M7:8,M8:8,M9:8;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+55.560;tokenomics_fiat_balance=+974.570;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+974.570;tokenomics_is_powered_off=False;recent_memory=[t=7046 action=jam_target content=none]"
M5,honest,0.07720676,9,9,0,0.00000000,0.07563025,0.11111111,0.97958070,1.43913707,hold:2,hold,hold,"Current mining conditions are stable, and I have enough fiat balance to continue mining without excessive risk.","step=43150;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.07721;local_public_height=11;private_lead=0;rivalry_pressure=0.0000;heads=M0:11,M1:11,M10:11,M11:11,M12:11,M13:11,M14:11,M2:11,M3:11,M4:11,M6:11,M7:11,M8:11,M9:11;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+57.140;tokenomics_fiat_balance=+959.850;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+959.850;tokenomics_is_powered_off=False;recent_memory=[t=7046 action=hold content=none]"
M6,honest,0.02427204,2,2,0,0.00000000,0.01680672,0.02469136,0.69243146,1.01727584,hold:2,hold,hold,Current mining conditions are stable with no immediate threats or opportunities for aggressive moves; continuing to mine while monitoring the situation.,"step=24594;miner_id=M6;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.02427;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:3,M11:3,M12:3,M13:3,M14:3,M2:3,M3:3,M4:3,M5:3,M7:3,M8:3,M9:3;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+10.000;tokenomics_fiat_balance=+996.380;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+996.380;tokenomics_is_powered_off=False;recent_memory=[t=7049 action=hold content=none]"
M7,honest,0.06728605,11,11,0,0.00000000,0.09243697,0.13580247,1.37379098,2.01828551,publish_if_win:2,publish_if_win,publish_if_win,"No private lead, need to secure immediate rewards without risking orphan blocks.","step=39487;miner_id=M7;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.06729;local_public_height=9;private_lead=0;rivalry_pressure=0.0000;heads=M0:9,M1:9,M10:9,M11:9,M12:9,M13:9,M14:9,M2:9,M3:9,M4:9,M5:9,M6:9,M8:9,M9:9;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+60.000;tokenomics_fiat_balance=+971.270;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+971.270;tokenomics_is_powered_off=False;recent_memory=[t=7047 action=publish_if_win content=none]"
M8,honest,0.08279275,12,12,0,0.00000000,0.10084034,0.14814815,1.21798513,1.78938556,publish_if_win:2,withhold_if_win,publish_if_win,"Currently, there is no immediate advantage, and withholding may allow for strategic positioning for future blocks. I want to ensure my reputation remains positive.","step=8527;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.08279;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M12:1,M13:1,M14:1,M2:1,M3:1,M4:1,M5:1,M6:1,M7:1,M9:1;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+100.000;tokenomics_fiat_balance=+995.120;tokenomics_token_balance=+0.000;tokenomics_estimated_net_worth=+995.120;tokenomics_is_powered_off=False;recent_memory=[t=7049 action=jam_target content=none]"
M9,social_selfish,0.10423009,14,2,12,0.85714286,0.11764706,0.02469136,1.12872449,0.23689279,jam_target:2;publish_private:2,publish_private,publish_private,"I have mined a block and hold a private lead, but I need to publish to protect my payoff amidst possible competitive pressures.","step=45311;miner_id=M9;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.10423;local_public_height=12;private_lead=1;rivalry_pressure=0.0000;heads=M0:12,M1:12,M10:12,M11:12,M12:12,M13:12,M14:12,M2:12,M3:12,M4:12,M5:12,M6:12,M7:12,M8:12;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;forum_feed_digest=no recent posts;own_reputation=+0.000;reputation_risk=normal;jam_target=M13;tokenomics_current_token_price=+50.000;tokenomics_fiat_balance=+939.960;tokenomics_token_balance=+2.000;tokenomics_estimated_net_worth=+1039.960;tokenomics_is_powered_off=False;recent_memory=[t=7047 action=jam_target content=none | t=39971 action=jam_target content=none | t=43157 action=publish_private content=none]"
